Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Audience,Mois,Nom Ad Set,Nom Campagne,Statut,Date de lancement,Personnes touchées,Impressions,Fréquence,Clics,Conversions (achats),Budget dépensé (€),Revenu estimé (€),ROAS,CPM (€),Coût par clic (€),Taux de clic (%),Coût par conversion (€),Taux de conversion (%),Hook rate (%),Panier moyen (€),Lien aperçu,ID Ad Set,ID Annonce
AG1_Lucas_Active_Image statique_Routine-matinale_V5,AG1 Powder,Lucas_Active,Image statique,Routine matinale,Morning Ritual,Large,Septembre 2025,AG1 Powder - Lucas Active - Septembre 2025,AG1 - Scale - AG1 Powder,En ligne,10/09/2025,508444,2028252,3.99,9363,543,13102.56,47137.83,3.6,6.46,1.4,0.46,24.13,31.44,—,86.81,https://facebook.com/ads/preview/AD-53745,AD-85342,AD-53745
AG1_Lucas_Active_Podcast_Digestion_V3,AG1 Powder,Lucas_Active,Podcast,Digestion,Une journée avec moi,Large,Septembre 2025,AG1 Powder - Lucas Active - Septembre 2025,AG1 - Scale - AG1 Powder,Arrêtée,13/09/2025,156841,332271,2.12,1711,59,4578.8,5145.98,1.12,13.78,2.68,0.51,77.61,23.55,32.7,87.22,https://facebook.com/ads/preview/AD-89408,AD-71833,AD-89408
AG1_Lucas_Active_Podcast_Routine-matinale_V1,AG1 Powder,Lucas_Active,Podcast,Routine matinale,Test goût,Large,Septembre 2025,AG1 Powder - Lucas Active - Septembre 2025,AG1 - Test créa - AG1 Powder,En pause,08/09/2025,55535,91037,1.64,762,836,10205.57,94760.6,9.29,112.1,13.39,0.84,12.21,8.79,22.0,113.35,https://facebook.com/ads/preview/AD-61814,AD-23970,AD-61814
AG1_Lucas_Active_UGC_Busy-Pro_V5,AG1 Powder,Lucas_Active,UGC,Busy Pro,Test goût,Large,Septembre 2025,AG1 Powder - Lucas Active - Septembre 2025,AG1 - Prospection - AG1 Powder,En ligne,28/09/2025,52800,182604,3.46,1538,21,1415.51,2343.81,1.66,7.75,0.92,0.84,67.41,17.62,12.0,111.61,https://facebook.com/ads/preview/AD-52380,AD-10032,AD-52380
AG1_Lucas_Active_UGC_Lifestyle_V2,AG1 Powder,Lucas_Active,UGC,Lifestyle,Challenge,Large,Septembre 2025,AG1 Powder - Lucas Active - Septembre 2025,AG1 - Scale - AG1 Powder,En ligne,07/09/2025,131588,316699,2.41,1240,173,5065.3,17197.93,3.4,15.99,4.08,0.39,29.28,31.45,12.4,99.41,https://facebook.com/ads/preview/AD-11438,AD-88264,AD-11438
AG1_Lucas_Active_UGC_Lifestyle_V4,AG1 Powder,Lucas_Active,UGC,Lifestyle,Challenge,Large,Septembre 2025,AG1 Powder - Lucas Active - Septembre 2025,AG1 - Test créa - AG1 Powder,En ligne,13/09/2025,74057,287460,3.88,2036,69,4084.23,7870.83,1.93,14.21,2.01,0.71,59.19,15.82,10.3,114.07,https://facebook.com/ads/preview/AD-49103,AD-20709,AD-49103
AG1_Marcus_Fit_Podcast_Lifestyle_V1,AG1 Powder,Marcus_Fit,Podcast,Lifestyle,Explication science,Large,Août 2025,AG1 Powder - Marcus Fit - Août 2025,AG1 - Acquisition - AG1 Powder,En ligne,14/08/2025,797948,1331664,1.67,8769,226,2944.54,24991.08,8.49,2.21,0.34,0.66,13.03,18.93,25.2,110.58,https://facebook.com/ads/preview/AD-91376,AD-73097,AD-91376
AG1_Marcus_Fit_Podcast_Énergie_V4,AG1 Powder,Marcus_Fit,Podcast,Énergie,Morning Ritual,Large,Août 2025,AG1 Powder - Marcus Fit - Août 2025,AG1 - Test créa - AG1 Powder,En pause,19/08/2025,41405,75261,1.82,502,641,6419.77,55978.53,8.72,85.3,12.79,0.67,10.02,6.37,15.1,87.33,https://facebook.com/ads/preview/AD-90200,AD-57925,AD-90200
AG1_Marcus_Fit_UGC_Immunité_V2,AG1 Powder,Marcus_Fit,UGC,Immunité,Morning Ritual,Large,Juillet 2025,AG1 Powder - Marcus Fit - Juillet 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,01/07/2025,387880,1367390,3.53,8260,725,12361.42,82983.5,6.71,9.04,1.5,0.6,17.05,10.4,25.2,114.46,https://facebook.com/ads/preview/AD-58819,AD-41711,AD-58819
AG1_Marcus_Fit_UGC_Lifestyle_V1,AG1 Powder,Marcus_Fit,UGC,Lifestyle,Explication science,Large,Juillet 2025,AG1 Powder - Marcus Fit - Juillet 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,10/07/2025,177475,450409,2.54,3435,125,13432.02,11507.5,0.86,29.82,3.91,0.76,107.46,11.82,16.4,92.06,https://facebook.com/ads/preview/AD-90560,AD-58174,AD-90560
AG1_Marcus_Fit_UGC_Science_V5,AG1 Powder,Marcus_Fit,UGC,Science,Test goût,Large,Juillet 2025,AG1 Powder - Marcus Fit - Juillet 2025,AG1 - Test créa - AG1 Powder,Arrêtée,14/07/2025,527326,2369116,4.49,15097,112,11000.33,12713.12,1.16,4.64,0.73,0.64,98.22,19.32,29.5,113.51,https://facebook.com/ads/preview/AD-40539,AD-13133,AD-40539
AG1_Marcus_Fit_UGC_Énergie_V5,AG1 Powder,Marcus_Fit,UGC,Énergie,Test goût,Large,Juillet 2025,AG1 Powder - Marcus Fit - Juillet 2025,AG1 - Test créa - AG1 Powder,Arrêtée,25/07/2025,120010,346616,2.89,2869,287,4276.47,27999.72,6.55,12.34,1.49,0.83,14.9,12.55,21.4,97.56,https://facebook.com/ads/preview/AD-78569,AD-44471,AD-78569
AG1_Marcus_Fit_UGC_Digestion_V5,AG1 Powder,Marcus_Fit,UGC,Digestion,Explication science,Large,Novembre 2025,AG1 Powder - Marcus Fit - Novembre 2025,AG1 - Scale - AG1 Powder,En pause,15/11/2025,18601,54104,2.91,115,543,9981.57,61673.94,6.18,184.49,86.8,0.21,18.38,65.22,15.3,113.58,https://facebook.com/ads/preview/AD-33631,AD-72188,AD-33631
AG1_Marcus_Fit_Motion-Vidéo_Digestion_V2,AG1 Powder,Marcus_Fit,Motion/Vidéo,Digestion,Témoignage,Large,Octobre 2025,AG1 Powder - Marcus Fit - Octobre 2025,AG1 - Acquisition - AG1 Powder,En ligne,25/10/2025,588861,1522570,2.59,3807,410,13284.25,41487.9,3.12,8.72,3.49,0.25,32.4,30.73,9.5,101.19,https://facebook.com/ads/preview/AD-76047,AD-60749,AD-76047
AG1_Marcus_Fit_Motion-Vidéo_Routine-matinale_V3,AG1 Powder,Marcus_Fit,Motion/Vidéo,Routine matinale,Une journée avec moi,Large,Octobre 2025,AG1 Powder - Marcus Fit - Octobre 2025,AG1 - Scale - AG1 Powder,Arrêtée,11/10/2025,253363,364860,1.44,3140,164,9657.62,16826.4,1.74,26.47,3.08,0.86,58.89,6.75,34.8,102.6,https://facebook.com/ads/preview/AD-19075,AD-51599,AD-19075
AG1_Marcus_Fit_UGC_Promo_V4,AG1 Powder,Marcus_Fit,UGC,Promo,Témoignage,Large,Octobre 2025,AG1 Powder - Marcus Fit - Octobre 2025,AG1 - Test créa - AG1 Powder,Archivée,07/10/2025,75597,211279,2.79,1903,277,14393.46,27267.88,1.89,68.13,7.56,0.9,51.96,12.03,27.2,98.44,https://facebook.com/ads/preview/AD-13199,AD-45033,AD-13199
AG1_Marcus_Fit_UGC_Sport_V4,AG1 Powder,Marcus_Fit,UGC,Sport,Morning Ritual,Large,Octobre 2025,AG1 Powder - Marcus Fit - Octobre 2025,AG1 - Scale - AG1 Powder,Arrêtée,21/10/2025,122083,252972,2.07,2113,372,8439.8,39748.2,4.71,33.36,3.99,0.84,22.69,12.07,10.2,106.85,https://facebook.com/ads/preview/AD-23614,AD-84581,AD-23614
AG1_Marcus_Fit_Image statique_Routine-matinale_V2,AG1 Powder,Marcus_Fit,Image statique,Routine matinale,Avant/Après,Large,Septembre 2025,AG1 Powder - Marcus Fit - Septembre 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,14/09/2025,555337,2475003,4.46,14320,125,13985.32,13371.25,0.96,5.65,0.98,0.58,111.88,20.97,—,106.97,https://facebook.com/ads/preview/AD-58599,AD-54112,AD-58599
AG1_Marcus_Fit_Podcast_Sport_V4,AG1 Powder,Marcus_Fit,Podcast,Sport,Morning Ritual,Large,Septembre 2025,AG1 Powder - Marcus Fit - Septembre 2025,AG1 - Test créa - AG1 Powder,Arrêtée,05/09/2025,57371,223887,3.9,1943,150,14856.68,16918.5,1.14,66.36,7.65,0.87,99.04,11.27,22.2,112.79,https://facebook.com/ads/preview/AD-23106,AD-22308,AD-23106
AG1_Marcus_Fit_UGC_Promo_V2,AG1 Powder,Marcus_Fit,UGC,Promo,Explication science,Large,Septembre 2025,AG1 Powder - Marcus Fit - Septembre 2025,AG1 - Scale - AG1 Powder,Arrêtée,13/09/2025,266238,826942,3.11,3018,200,6489.27,23258.0,3.58,7.85,2.15,0.36,32.45,31.08,10.4,116.29,https://facebook.com/ads/preview/AD-24146,AD-93720,AD-24146
AG1_Max_Performance_Image statique_Busy-Pro_V3,AG1 Powder,Max_Performance,Image statique,Busy Pro,Une journée avec moi,Large,Août 2025,AG1 Powder - Max Performance - Août 2025,AG1 - Acquisition - AG1 Powder,En ligne,19/08/2025,198097,672316,3.39,2232,317,5580.41,30403.47,5.45,8.3,2.5,0.33,17.6,15.1,—,95.91,https://facebook.com/ads/preview/AD-27481,AD-15334,AD-27481
AG1_Max_Performance_Image statique_Immunité_V3,AG1 Powder,Max_Performance,Image statique,Immunité,Comparatif,Large,Août 2025,AG1 Powder - Max Performance - Août 2025,AG1 - Scale - AG1 Powder,Arrêtée,04/08/2025,453473,958904,2.11,5647,105,5211.14,9047.85,1.74,5.43,0.92,0.59,49.63,6.38,—,86.17,https://facebook.com/ads/preview/AD-79717,AD-71625,AD-79717
AG1_Max_Performance_Podcast_Voyage_V2,AG1 Powder,Max_Performance,Podcast,Voyage,Témoignage,Large,Août 2025,AG1 Powder - Max Performance - Août 2025,AG1 - Scale - AG1 Powder,Arrêtée,22/08/2025,517259,1053897,2.04,8055,192,5198.13,22212.48,4.27,4.93,0.65,0.76,27.07,8.73,27.9,115.69,https://facebook.com/ads/preview/AD-40116,AD-25608,AD-40116
AG1_Max_Performance_Motion-Vidéo_Science_V2,AG1 Powder,Max_Performance,Motion/Vidéo,Science,Test goût,Large,Juillet 2025,AG1 Powder - Max Performance - Juillet 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,23/07/2025,260905,521839,2.0,3706,163,7989.07,14485.81,1.81,15.31,2.16,0.71,49.01,15.54,9.4,88.87,https://facebook.com/ads/preview/AD-23178,AD-71918,AD-23178
AG1_Max_Performance_Podcast_Lifestyle_V1,AG1 Powder,Max_Performance,Podcast,Lifestyle,Témoignage,Large,Juillet 2025,AG1 Powder - Max Performance - Juillet 2025,AG1 - Prospection - AG1 Powder,En pause,22/07/2025,59303,97127,1.64,283,661,12162.28,65379.51,5.38,125.22,42.98,0.29,18.4,22.61,30.9,98.91,https://facebook.com/ads/preview/AD-41970,AD-31542,AD-41970
AG1_Max_Performance_Motion-Vidéo_Routine-matinale_V1,AG1 Powder,Max_Performance,Motion/Vidéo,Routine matinale,Comparatif,Large,Novembre 2025,AG1 Powder - Max Performance - Novembre 2025,AG1 - Scale - AG1 Powder,En pause,06/11/2025,35409,52707,1.49,404,208,3562.4,19348.16,5.43,67.59,8.82,0.77,17.13,12.13,33.3,93.02,https://facebook.com/ads/preview/AD-90733,AD-64778,AD-90733
AG1_Max_Performance_Motion-Vidéo_Science_V2,AG1 Powder,Max_Performance,Motion/Vidéo,Science,Comparatif,Large,Octobre 2025,AG1 Powder - Max Performance - Octobre 2025,AG1 - Prospection - AG1 Powder,Archivée,21/10/2025,53941,152194,2.82,1346,251,3773.01,26967.44,7.15,24.79,2.8,0.88,15.03,7.28,11.4,107.44,https://facebook.com/ads/preview/AD-75231,AD-89332,AD-75231
AG1_Max_Performance_Podcast_Lifestyle_V3,AG1 Powder,Max_Performance,Podcast,Lifestyle,Morning Ritual,Large,Octobre 2025,AG1 Powder - Max Performance - Octobre 2025,AG1 - Prospection - AG1 Powder,En pause,25/10/2025,56675,68414,1.21,253,861,12186.55,80770.41,6.63,178.13,48.17,0.37,14.15,24.51,13.1,93.81,https://facebook.com/ads/preview/AD-18768,AD-86854,AD-18768
AG1_Max_Performance_Témoignage_Lifestyle_V3,AG1 Powder,Max_Performance,Témoignage,Lifestyle,Avant/Après,Large,Octobre 2025,AG1 Powder - Max Performance - Octobre 2025,AG1 - Prospection - AG1 Powder,En pause,26/10/2025,38989,99066,2.54,406,46,4565.65,5372.8,1.18,46.09,11.25,0.41,99.25,33.5,—,116.8,https://facebook.com/ads/preview/AD-25771,AD-36825,AD-25771
AG1_Max_Performance_Témoignage_Promo_V5,AG1 Powder,Max_Performance,Témoignage,Promo,Une journée avec moi,Large,Octobre 2025,AG1 Powder - Max Performance - Octobre 2025,AG1 - Prospection - AG1 Powder,Arrêtée,10/10/2025,282869,905386,3.2,7863,379,11984.62,38343.43,3.2,13.24,1.52,0.87,31.62,16.24,—,101.17,https://facebook.com/ads/preview/AD-80182,AD-59220,AD-80182
AG1_Max_Performance_UGC_Digestion_V5,AG1 Powder,Max_Performance,UGC,Digestion,Explication science,Large,Octobre 2025,AG1 Powder - Max Performance - Octobre 2025,AG1 - Test créa - AG1 Powder,En ligne,24/10/2025,523213,1144554,2.19,4625,97,1197.33,10235.44,8.55,1.05,0.26,0.4,12.34,17.45,9.0,105.52,https://facebook.com/ads/preview/AD-27046,AD-48528,AD-27046
AG1_Max_Performance_Image statique_Lifestyle_V4,AG1 Powder,Max_Performance,Image statique,Lifestyle,Test goût,Large,Septembre 2025,AG1 Powder - Max Performance - Septembre 2025,AG1 - Prospection - AG1 Powder,En ligne,27/09/2025,396215,1512629,3.82,4663,572,12793.32,48980.36,3.83,8.46,2.74,0.31,22.37,37.74,—,85.63,https://facebook.com/ads/preview/AD-11287,AD-72111,AD-11287
AG1_Max_Performance_Podcast_Science_V1,AG1 Powder,Max_Performance,Podcast,Science,Test goût,Large,Septembre 2025,AG1 Powder - Max Performance - Septembre 2025,AG1 - Prospection - AG1 Powder,Arrêtée,15/09/2025,298548,743660,2.49,3967,123,1654.67,12887.94,7.79,2.23,0.42,0.53,13.45,21.3,19.5,104.78,https://facebook.com/ads/preview/AD-83952,AD-25745,AD-83952
AG1_Max_Performance_Podcast_Sport_V5,AG1 Powder,Max_Performance,Podcast,Sport,Explication science,Large,Septembre 2025,AG1 Powder - Max Performance - Septembre 2025,AG1 - Prospection - AG1 Powder,Archivée,06/09/2025,23183,68288,2.95,466,121,1711.8,13279.75,7.76,25.07,3.67,0.68,14.15,13.09,16.9,109.75,https://facebook.com/ads/preview/AD-70583,AD-42094,AD-70583
AG1_Max_Performance_UGC_Immunité_V4,AG1 Powder,Max_Performance,UGC,Immunité,Témoignage,Large,Septembre 2025,AG1 Powder - Max Performance - Septembre 2025,AG1 - Test créa - AG1 Powder,Arrêtée,15/09/2025,366987,693085,1.89,6146,118,7938.29,12536.32,1.58,11.45,1.29,0.89,67.27,11.37,28.5,106.24,https://facebook.com/ads/preview/AD-30184,AD-95890,AD-30184
AG1_Max_Performance_UGC_Routine-matinale_V2,AG1 Powder,Max_Performance,UGC,Routine matinale,Une journée avec moi,Large,Septembre 2025,AG1 Powder - Max Performance - Septembre 2025,AG1 - Scale - AG1 Powder,Archivée,27/09/2025,86944,245585,2.82,2074,265,7428.65,31190.5,4.2,30.25,3.58,0.84,28.03,4.44,23.2,117.7,https://facebook.com/ads/preview/AD-55330,AD-14634,AD-55330
AG1_Max_Performance_UGC_Science_V4,AG1 Powder,Max_Performance,UGC,Science,Avant/Après,Large,Septembre 2025,AG1 Powder - Max Performance - Septembre 2025,AG1 - Test créa - AG1 Powder,Arrêtée,11/09/2025,525151,1260266,2.4,2658,165,1498.46,14678.4,9.8,1.19,0.56,0.21,9.08,31.53,22.9,88.96,https://facebook.com/ads/preview/AD-57367,AD-57260,AD-57367
AG1_Max_Performance_UGC_Sport_V3,AG1 Powder,Max_Performance,UGC,Sport,Témoignage,Large,Septembre 2025,AG1 Powder - Max Performance - Septembre 2025,AG1 - Test créa - AG1 Powder,En ligne,04/09/2025,219963,568639,2.59,1528,1507,11860.56,134665.52,11.35,20.86,7.76,0.27,7.87,34.75,8.7,89.36,https://facebook.com/ads/preview/AD-14356,AD-36678,AD-14356
AG1_Max_Performance_UGC_Énergie_V4,AG1 Powder,Max_Performance,UGC,Énergie,Challenge,Large,Septembre 2025,AG1 Powder - Max Performance - Septembre 2025,AG1 - Scale - AG1 Powder,En ligne,09/09/2025,257131,543140,2.11,2326,419,3772.09,43224.04,11.46,6.94,1.62,0.43,9.0,11.91,20.1,103.16,https://facebook.com/ads/preview/AD-20487,AD-73068,AD-20487
AG1_Max_Performance_UGC_Énergie_V5,AG1 Powder,Max_Performance,UGC,Énergie,Témoignage,Large,Septembre 2025,AG1 Powder - Max Performance - Septembre 2025,AG1 - Test créa - AG1 Powder,En pause,22/09/2025,5087,9341,1.84,62,211,5735.34,18340.12,3.2,614.0,92.51,0.66,27.18,8.06,25.2,86.92,https://facebook.com/ads/preview/AD-49334,AD-33601,AD-49334
AG1_Mia_Mindful_Image statique_Busy-Pro_V3,AG1 Powder,Mia_Mindful,Image statique,Busy Pro,Morning Ritual,Large,Août 2025,AG1 Powder - Mia Mindful - Août 2025,AG1 - Prospection - AG1 Powder,En ligne,10/08/2025,411908,1639337,3.98,6481,18,893.92,1532.88,1.71,0.55,0.14,0.4,49.66,20.09,—,85.16,https://facebook.com/ads/preview/AD-21133,AD-87664,AD-21133
AG1_Mia_Mindful_Motion-Vidéo_Busy-Pro_V5,AG1 Powder,Mia_Mindful,Motion/Vidéo,Busy Pro,Témoignage,Large,Août 2025,AG1 Powder - Mia Mindful - Août 2025,AG1 - Prospection - AG1 Powder,Arrêtée,26/08/2025,198646,817644,4.12,2901,59,4392.8,6124.79,1.39,5.37,1.51,0.35,74.45,16.3,11.2,103.81,https://facebook.com/ads/preview/AD-37175,AD-25456,AD-37175
AG1_Mia_Mindful_Podcast_Digestion_V1,AG1 Powder,Mia_Mindful,Podcast,Digestion,Test goût,Large,Août 2025,AG1 Powder - Mia Mindful - Août 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,17/08/2025,533676,1993872,3.74,6476,1345,13920.78,130653.3,9.39,6.98,2.15,0.32,10.35,44.24,34.2,97.14,https://facebook.com/ads/preview/AD-94835,AD-53421,AD-94835
AG1_Mia_Mindful_Podcast_Sport_V3,AG1 Powder,Mia_Mindful,Podcast,Sport,Une journée avec moi,Large,Août 2025,AG1 Powder - Mia Mindful - Août 2025,AG1 - Scale - AG1 Powder,Arrêtée,02/08/2025,516773,1840561,3.56,9584,278,4061.62,25815.08,6.36,2.21,0.42,0.52,14.61,17.16,32.9,92.86,https://facebook.com/ads/preview/AD-38773,AD-37158,AD-38773
AG1_Mia_Mindful_Témoignage_Promo_V3,AG1 Powder,Mia_Mindful,Témoignage,Promo,Test goût,Large,Août 2025,AG1 Powder - Mia Mindful - Août 2025,AG1 - Scale - AG1 Powder,Arrêtée,22/08/2025,113050,230919,2.04,1709,184,6943.57,16775.28,2.42,30.07,4.06,0.74,37.74,13.52,—,91.17,https://facebook.com/ads/preview/AD-35549,AD-87165,AD-35549
AG1_Mia_Mindful_UGC_Routine-matinale_V3,AG1 Powder,Mia_Mindful,UGC,Routine matinale,Témoignage,Large,Août 2025,AG1 Powder - Mia Mindful - Août 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,03/08/2025,93952,156795,1.67,1547,411,14754.51,48095.22,3.26,94.1,9.54,0.99,35.9,11.89,29.0,117.02,https://facebook.com/ads/preview/AD-89963,AD-78597,AD-89963
AG1_Mia_Mindful_UGC_Lifestyle_V4,AG1 Powder,Mia_Mindful,UGC,Lifestyle,Morning Ritual,Large,Juillet 2025,AG1 Powder - Mia Mindful - Juillet 2025,AG1 - Prospection - AG1 Powder,En ligne,09/07/2025,429781,1327577,3.09,7280,370,10624.26,39638.1,3.73,8.0,1.46,0.55,28.71,23.6,27.8,107.13,https://facebook.com/ads/preview/AD-80539,AD-90728,AD-80539
AG1_Mia_Mindful_Podcast_Busy-Pro_V3,AG1 Powder,Mia_Mindful,Podcast,Busy Pro,Challenge,Large,Novembre 2025,AG1 Powder - Mia Mindful - Novembre 2025,AG1 - Test créa - AG1 Powder,En ligne,12/11/2025,293018,830982,2.84,2205,61,7362.03,5565.03,0.76,8.86,3.34,0.27,120.69,25.4,11.7,91.23,https://facebook.com/ads/preview/AD-23320,AD-38594,AD-23320
AG1_Mia_Mindful_Podcast_Lifestyle_V4,AG1 Powder,Mia_Mindful,Podcast,Lifestyle,Avant/Après,Large,Novembre 2025,AG1 Powder - Mia Mindful - Novembre 2025,AG1 - Acquisition - AG1 Powder,En ligne,26/11/2025,161464,474289,2.94,2986,1236,14328.49,122994.36,8.58,30.21,4.8,0.63,11.59,6.87,32.9,99.51,https://facebook.com/ads/preview/AD-80843,AD-66343,AD-80843
AG1_Mia_Mindful_UGC_Immunité_V2,AG1 Powder,Mia_Mindful,UGC,Immunité,Test goût,Large,Novembre 2025,AG1 Powder - Mia Mindful - Novembre 2025,AG1 - Test créa - AG1 Powder,En pause,09/11/2025,20653,59182,2.87,236,5,550.61,512.9,0.93,9.3,2.33,0.4,110.12,29.66,16.4,102.58,https://facebook.com/ads/preview/AD-37251,AD-63290,AD-37251
AG1_Mia_Mindful_UGC_Énergie_V5,AG1 Powder,Mia_Mindful,UGC,Énergie,Test goût,Large,Novembre 2025,AG1 Powder - Mia Mindful - Novembre 2025,AG1 - Test créa - AG1 Powder,En pause,24/11/2025,70957,165325,2.33,924,87,4448.14,9678.75,2.18,26.91,4.81,0.56,51.13,24.57,9.4,111.25,https://facebook.com/ads/preview/AD-95672,AD-12556,AD-95672
AG1_Mia_Mindful_Image statique_Sport_V4,AG1 Powder,Mia_Mindful,Image statique,Sport,Explication science,Large,Octobre 2025,AG1 Powder - Mia Mindful - Octobre 2025,AG1 - Acquisition - AG1 Powder,En ligne,04/10/2025,769575,2406674,3.13,10984,224,10904.1,20648.32,1.89,4.53,0.99,0.46,48.68,30.51,—,92.18,https://facebook.com/ads/preview/AD-80337,AD-29278,AD-80337
AG1_Mia_Mindful_Image statique_Voyage_V3,AG1 Powder,Mia_Mindful,Image statique,Voyage,Une journée avec moi,Large,Octobre 2025,AG1 Powder - Mia Mindful - Octobre 2025,AG1 - Scale - AG1 Powder,Arrêtée,16/10/2025,431296,1047170,2.43,3331,118,11521.33,11979.36,1.04,11.0,3.46,0.32,97.64,46.53,—,101.52,https://facebook.com/ads/preview/AD-81076,AD-98566,AD-81076
AG1_Mia_Mindful_Podcast_Routine-matinale_V1,AG1 Powder,Mia_Mindful,Podcast,Routine matinale,Morning Ritual,Large,Octobre 2025,AG1 Powder - Mia Mindful - Octobre 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,05/10/2025,240222,1021814,4.25,9814,121,6179.63,13568.94,2.2,6.05,0.63,0.96,51.07,14.35,20.4,112.14,https://facebook.com/ads/preview/AD-71604,AD-46496,AD-71604
AG1_Mia_Mindful_UGC_Immunité_V4,AG1 Powder,Mia_Mindful,UGC,Immunité,Explication science,Large,Octobre 2025,AG1 Powder - Mia Mindful - Octobre 2025,AG1 - Acquisition - AG1 Powder,Archivée,05/10/2025,71458,113865,1.59,1103,27,785.3,2711.61,3.45,6.9,0.71,0.97,29.09,6.35,31.3,100.43,https://facebook.com/ads/preview/AD-48537,AD-61850,AD-48537
AG1_Mia_Mindful_UGC_Routine-matinale_V3,AG1 Powder,Mia_Mindful,UGC,Routine matinale,Avant/Après,Large,Octobre 2025,AG1 Powder - Mia Mindful - Octobre 2025,AG1 - Acquisition - AG1 Powder,En pause,11/10/2025,68938,157080,2.28,681,68,1677.4,6149.24,3.67,10.68,2.46,0.43,24.67,22.76,14.2,90.43,https://facebook.com/ads/preview/AD-86881,AD-13457,AD-86881
AG1_Mia_Mindful_UGC_Routine-matinale_V4,AG1 Powder,Mia_Mindful,UGC,Routine matinale,Morning Ritual,Large,Octobre 2025,AG1 Powder - Mia Mindful - Octobre 2025,AG1 - Test créa - AG1 Powder,Archivée,23/10/2025,15520,20949,1.35,175,227,14451.02,26810.97,1.86,689.82,82.58,0.84,63.66,7.43,19.6,118.11,https://facebook.com/ads/preview/AD-72121,AD-96067,AD-72121
AG1_Mia_Mindful_UGC_Routine-matinale_V2,AG1 Powder,Mia_Mindful,UGC,Routine matinale,Témoignage,Large,Septembre 2025,AG1 Powder - Mia Mindful - Septembre 2025,AG1 - Prospection - AG1 Powder,En pause,01/09/2025,68575,201153,2.93,890,260,9981.59,27960.4,2.8,49.62,11.22,0.44,38.39,23.6,15.8,107.54,https://facebook.com/ads/preview/AD-15367,AD-69488,AD-15367
AG1_Mia_Mindful_UGC_Énergie_V1,AG1 Powder,Mia_Mindful,UGC,Énergie,Avant/Après,Large,Septembre 2025,AG1 Powder - Mia Mindful - Septembre 2025,AG1 - Prospection - AG1 Powder,Arrêtée,19/09/2025,544510,1057593,1.94,6172,340,14810.87,30759.8,2.08,14.0,2.4,0.58,43.56,17.21,26.7,90.47,https://facebook.com/ads/preview/AD-60326,AD-33736,AD-60326
AG1_Noah_Vitality_Podcast_Voyage_V5,AG1 Powder,Noah_Vitality,Podcast,Voyage,Témoignage,Large,Août 2025,AG1 Powder - Noah Vitality - Août 2025,AG1 - Test créa - AG1 Powder,En ligne,24/08/2025,450314,1001344,2.22,4421,1003,12350.85,86207.85,6.98,12.33,2.79,0.44,12.31,20.11,23.8,85.95,https://facebook.com/ads/preview/AD-39428,AD-70745,AD-39428
AG1_Noah_Vitality_Podcast_Énergie_V2,AG1 Powder,Noah_Vitality,Podcast,Énergie,Une journée avec moi,Large,Août 2025,AG1 Powder - Noah Vitality - Août 2025,AG1 - Scale - AG1 Powder,En ligne,18/08/2025,527461,1605761,3.04,5623,106,9360.17,11503.12,1.23,5.83,1.66,0.35,88.3,17.89,8.5,108.52,https://facebook.com/ads/preview/AD-34371,AD-12900,AD-34371
AG1_Noah_Vitality_UGC_Immunité_V2,AG1 Powder,Noah_Vitality,UGC,Immunité,Test goût,Large,Août 2025,AG1 Powder - Noah Vitality - Août 2025,AG1 - Test créa - AG1 Powder,Archivée,25/08/2025,82752,135247,1.63,1124,31,9684.22,3503.0,0.36,71.6,8.62,0.83,312.39,15.3,15.4,113.0,https://facebook.com/ads/preview/AD-71746,AD-74447,AD-71746
AG1_Noah_Vitality_Image statique_Énergie_V5,AG1 Powder,Noah_Vitality,Image statique,Énergie,Une journée avec moi,Large,Juillet 2025,AG1 Powder - Noah Vitality - Juillet 2025,AG1 - Test créa - AG1 Powder,En ligne,25/07/2025,447887,974095,2.17,3659,182,10338.02,16987.88,1.64,10.61,2.83,0.38,56.8,37.52,—,93.34,https://facebook.com/ads/preview/AD-40021,AD-17331,AD-40021
AG1_Noah_Vitality_Podcast_Voyage_V1,AG1 Powder,Noah_Vitality,Podcast,Voyage,Explication science,Large,Juillet 2025,AG1 Powder - Noah Vitality - Juillet 2025,AG1 - Test créa - AG1 Powder,En pause,10/07/2025,64038,135142,2.11,1039,30,7167.59,3308.4,0.46,53.04,6.9,0.77,238.92,7.6,20.1,110.28,https://facebook.com/ads/preview/AD-63005,AD-39045,AD-63005
